date,open,high,low,close,Volume
02.08.2013 23:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
03.08.2013 03:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
03.08.2013 07:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
03.08.2013 11:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
03.08.2013 15:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
03.08.2013 19:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
03.08.2013 23:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
04.08.2013 03:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
04.08.2013 07:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
04.08.2013 11:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
04.08.2013 15:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
04.08.2013 19:00:00.000 GMT+0200,0.86799,0.86799,0.86799,0.86799,0
04.08.2013 23:00:00.000 GMT+0200,0.86808,0.86944,0.86788,0.86840,10048.9199
05.08.2013 03:00:00.000 GMT+0200,0.86842,0.86961,0.86829,0.86943,8931.8799
05.08.2013 07:00:00.000 GMT+0200,0.86941,0.86945,0.86438,0.86520,26972.6207
05.08.2013 11:00:00.000 GMT+0200,0.86521,0.86556,0.86355,0.86358,25334.4297
05.08.2013 15:00:00.000 GMT+0200,0.86358,0.86494,0.86305,0.86452,28062.550199999998
05.08.2013 19:00:00.000 GMT+0200,0.86452,0.86472,0.86324,0.86328,12043.1001
05.08.2013 23:00:00.000 GMT+0200,0.86324,0.86392,0.86314,0.86325,8836.5003
06.08.2013 03:00:00.000 GMT+0200,0.86326,0.86421,0.86323,0.86376,8969.2998
06.08.2013 07:00:00.000 GMT+0200,0.86376,0.86443,0.86180,0.86303,23774.1201
06.08.2013 11:00:00.000 GMT+0200,0.86303,0.86659,0.86301,0.86627,28171.75
06.08.2013 15:00:00.000 GMT+0200,0.86627,0.86653,0.86482,0.86535,31628.4506
06.08.2013 19:00:00.000 GMT+0200,0.86534,0.86716,0.86514,0.86677,11616.8401
06.08.2013 23:00:00.000 GMT+0200,0.86673,0.86761,0.86619,0.86758,10622.75
07.08.2013 03:00:00.000 GMT+0200,0.86757,0.86791,0.86727,0.86765,7870.0803000000005
07.08.2013 07:00:00.000 GMT+0200,0.86765,0.86813,0.86688,0.86792,25336.2102
07.08.2013 11:00:00.000 GMT+0200,0.86792,0.87306,0.85842,0.86051,64689.129
07.08.2013 15:00:00.000 GMT+0200,0.86051,0.86057,0.85783,0.85962,34302.4502
07.08.2013 19:00:00.000 GMT+0200,0.85962,0.86131,0.85961,0.86082,14133.1203
07.08.2013 23:00:00.000 GMT+0200,0.86082,0.86121,0.86044,0.86115,11450.589800000002
08.08.2013 03:00:00.000 GMT+0200,0.86114,0.86117,0.86026,0.86077,10333.5998
08.08.2013 07:00:00.000 GMT+0200,0.86076,0.86222,0.85968,0.86062,28418.940499999997
08.08.2013 11:00:00.000 GMT+0200,0.86061,0.86205,0.86052,0.86131,21879.41
08.08.2013 15:00:00.000 GMT+0200,0.86130,0.86146,0.85926,0.86070,29074.390199999998
08.08.2013 19:00:00.000 GMT+0200,0.86071,0.86140,0.86032,0.86114,13522.3
08.08.2013 23:00:00.000 GMT+0200,0.86111,0.86134,0.86085,0.86121,7089.3301
09.08.2013 03:00:00.000 GMT+0200,0.86122,0.86134,0.86087,0.86104,6651.4499
09.08.2013 07:00:00.000 GMT+0200,0.86103,0.86122,0.86014,0.86067,16792.7901
09.08.2013 11:00:00.000 GMT+0200,0.86067,0.86180,0.86023,0.86144,21426.4902
09.08.2013 15:00:00.000 GMT+0200,0.86144,0.86173,0.85961,0.85982,23444.1602
09.08.2013 19:00:00.000 GMT+0200,0.85980,0.86072,0.85967,0.86051,10852.1099
09.08.2013 23:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
10.08.2013 03:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
10.08.2013 07:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
10.08.2013 11:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
10.08.2013 15:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
10.08.2013 19:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
10.08.2013 23:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
11.08.2013 03:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
11.08.2013 07:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
11.08.2013 11:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
11.08.2013 15:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
11.08.2013 19:00:00.000 GMT+0200,0.86051,0.86051,0.86051,0.86051,0
11.08.2013 23:00:00.000 GMT+0200,0.85969,0.86048,0.85900,0.85915,7238.5099
12.08.2013 03:00:00.000 GMT+0200,0.85916,0.86020,0.85902,0.86013,6749.69
12.08.2013 07:00:00.000 GMT+0200,0.86012,0.86085,0.85936,0.85950,18067.9304
12.08.2013 11:00:00.000 GMT+0200,0.85947,0.86004,0.85800,0.85852,19383.54
12.08.2013 15:00:00.000 GMT+0200,0.85851,0.86030,0.85808,0.85974,18565.6601
12.08.2013 19:00:00.000 GMT+0200,0.85974,0.86036,0.85958,0.85989,9836.689900000001
12.08.2013 23:00:00.000 GMT+0200,0.85989,0.86040,0.85974,0.86023,6628.0401
13.08.2013 03:00:00.000 GMT+0200,0.86023,0.86095,0.85996,0.86078,6960.2099
13.08.2013 07:00:00.000 GMT+0200,0.86075,0.86092,0.85865,0.85923,23759.4196
13.08.2013 11:00:00.000 GMT+0200,0.85923,0.86095,0.85797,0.85825,25292.1299
13.08.2013 15:00:00.000 GMT+0200,0.85824,0.85889,0.85347,0.85697,30404.6796
13.08.2013 19:00:00.000 GMT+0200,0.85696,0.85873,0.85695,0.85836,10600.1299
13.08.2013 23:00:00.000 GMT+0200,0.85836,0.85872,0.85826,0.85841,7333.9999
14.08.2013 03:00:00.000 GMT+0200,0.85840,0.85881,0.85828,0.85871,6255.18
14.08.2013 07:00:00.000 GMT+0200,0.85870,0.85983,0.85560,0.85740,25155.9204
14.08.2013 11:00:00.000 GMT+0200,0.85736,0.85748,0.85410,0.85473,26752.509700000002
14.08.2013 15:00:00.000 GMT+0200,0.85473,0.85544,0.85277,0.85442,23672.499799999998
14.08.2013 19:00:00.000 GMT+0200,0.85441,0.85529,0.85412,0.85505,13234.8899
14.08.2013 23:00:00.000 GMT+0200,0.85503,0.85536,0.85457,0.85467,6713.34
15.08.2013 03:00:00.000 GMT+0200,0.85468,0.85682,0.85453,0.85639,13784.930199999999
15.08.2013 07:00:00.000 GMT+0200,0.85642,0.85644,0.85256,0.85294,21694.499900000003
15.08.2013 11:00:00.000 GMT+0200,0.85294,0.85362,0.85148,0.85152,26555.860399999998
15.08.2013 15:00:00.000 GMT+0200,0.85152,0.85215,0.85049,0.85126,28179.929600000003
15.08.2013 19:00:00.000 GMT+0200,0.85124,0.85380,0.85076,0.85321,30191.629699999998
15.08.2013 23:00:00.000 GMT+0200,0.85321,0.85389,0.85300,0.85379,8430.55
16.08.2013 03:00:00.000 GMT+0200,0.85379,0.85394,0.85343,0.85379,8064.789999999999
16.08.2013 07:00:00.000 GMT+0200,0.85379,0.85416,0.85283,0.85305,18333.3702
16.08.2013 11:00:00.000 GMT+0200,0.85306,0.85446,0.85234,0.85428,21652.5996
16.08.2013 15:00:00.000 GMT+0200,0.85427,0.85543,0.85251,0.85251,26141.1299
16.08.2013 19:00:00.000 GMT+0200,0.85248,0.85379,0.85236,0.85246,13171.8198
16.08.2013 23:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
17.08.2013 03:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
17.08.2013 07:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
17.08.2013 11:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
